config,pt_min,pt_max,pt_center,y_ee,e_ee,y_eeg,e_eeg,raw_eeg,pol2_eeg,eeg_over_ee,ee_over_eeg,fit_mean,fit_sigma,fit_chi2,fit_ndf
nominal,0.6,0.795,0.6975,845.5670875933699,52.36531579169742,94.55879256941586,10.710373420775504,94.55879256941586,0.0,0.11182884712145848,8.942236513570506,0.13276700921019877,0.006004859058231264,286.4467305294755,64
nominal,0.8,1.195,0.9975,6704.953282692382,71.75602661733673,1258.8895060750551,19.68535655026841,1258.8895060750551,0.0,0.18775514951381533,5.326085609845915,0.1355776867518094,0.007565157700010343,1628.4685646865669,86
nominal,1.2,1.5950000000000002,1.3975,3723.854297220707,26.802860892177854,814.7725798024076,8.461134798542458,814.7725798024076,0.0,0.21879818993200456,4.570421722002215,0.13497259863344999,0.00924757269945768,1568.8077367054127,86
nominal,1.6,1.995,1.7975,1772.7200172543526,10.246845105583253,408.0225648916603,3.541486284428863,408.0225648916603,0.0,0.23016751710381156,4.344661716748562,0.13632828012518552,0.009553374705957449,1981.0195313765066,86
nominal,2.0,2.495,2.2475,811.8676618039608,3.8037176263063475,222.2457901483649,1.5259278872603148,222.2457901483649,0.0,0.27374632665444176,3.6530170549551526,0.1366814554234329,0.010449888471423894,2375.3709883958218,86
nominal,2.5,2.995,2.7475,272.44083942472935,1.1829722917787164,81.03488884909802,0.5261296660862073,81.03488884909802,0.0,0.29744031408876404,3.362019042588738,0.13629998645210303,0.01045666046113081,2712.9221662832583,86
nominal,3.0,3.995,3.4975,135.80115812458098,0.44647736692017964,46.59584319589703,0.22337624513782897,46.59584319589703,0.0,0.34311815774907484,2.9144479166016866,0.13671506226601002,0.011079517595053896,2241.9957347646828,86
nominal,4.0,4.995,4.4975000000000005,24.49574453011155,0.07710378640207313,9.58225844662229,0.04401027195025314,9.58225844662229,0.0,0.3911805348411941,2.5563644172784974,0.13721342614333654,0.012540460753243499,2836.2137839060138,86
nominal,5.0,6.995,5.9975000000000005,8.203202557982877,0.020529130998005313,3.634038393101946,0.013039233037489686,3.634038393101946,0.0,0.4430023966146627,2.2573241310697267,0.137069620197553,0.013586076680506626,3231.4018947353834,86
nominal,7.0,9.995,8.497499999999999,1.228708009053662,0.0027414448175650417,0.6023534140813354,0.0019477141244927754,0.6023534140813354,0.0,0.4902331633251594,2.0398456791808774,0.13802885522074196,0.01570466023604478,3421.3639576711794,86
conv_solution,0.6,0.795,0.6975,845.5670875933699,52.36531579169742,94.55879256941586,10.710373420775504,94.55879256941586,0.0,0.11182884712145848,8.942236513570506,0.13276700921019877,0.006004859058231264,286.4467305294755,64
conv_solution,0.8,1.195,0.9975,6704.953282692382,71.75602661733673,1258.8895060750551,19.68535655026841,1258.8895060750551,0.0,0.18775514951381533,5.326085609845915,0.1355776867518094,0.007565157700010343,1628.4685646865669,86
conv_solution,1.2,1.5950000000000002,1.3975,3723.854297220707,26.802860892177854,814.7725798024076,8.461134798542458,814.7725798024076,0.0,0.21879818993200456,4.570421722002215,0.13497259863344999,0.00924757269945768,1568.8077367054127,86
conv_solution,1.6,1.995,1.7975,1772.7200172543526,10.246845105583253,408.0225648916603,3.541486284428863,408.0225648916603,0.0,0.23016751710381156,4.344661716748562,0.13632828012518552,0.009553374705957449,1981.0195313765066,86
conv_solution,2.0,2.495,2.2475,811.8676618039608,3.8037176263063475,222.2457901483649,1.5259278872603148,222.2457901483649,0.0,0.27374632665444176,3.6530170549551526,0.1366814554234329,0.010449888471423894,2375.3709883958218,86
conv_solution,2.5,2.995,2.7475,272.44083942472935,1.1829722917787164,81.03488884909802,0.5261296660862073,81.03488884909802,0.0,0.29744031408876404,3.362019042588738,0.13629998645210303,0.01045666046113081,2712.9221662832583,86
conv_solution,3.0,3.995,3.4975,135.80115812458098,0.44647736692017964,46.59584319589703,0.22337624513782897,46.59584319589703,0.0,0.34311815774907484,2.9144479166016866,0.13671506226601002,0.011079517595053896,2241.9957347646828,86
conv_solution,4.0,4.995,4.4975000000000005,24.49574453011155,0.07710378640207313,9.58225844662229,0.04401027195025314,9.58225844662229,0.0,0.3911805348411941,2.5563644172784974,0.13721342614333654,0.012540460753243499,2836.2137839060138,86
conv_solution,5.0,6.995,5.9975000000000005,8.203202557982877,0.020529130998005313,3.634038393101946,0.013039233037489686,3.634038393101946,0.0,0.4430023966146627,2.2573241310697267,0.137069620197553,0.013586076680506626,3231.4018947353834,86
conv_solution,7.0,9.995,8.497499999999999,1.228708009053662,0.0027414448175650417,0.6023534140813354,0.0019477141244927754,0.6023534140813354,0.0,0.4902331633251594,2.0398456791808774,0.13802885522074196,0.01570466023604478,3421.3639576711794,86
conv_tight,0.6,0.795,0.6975,696.5562197385296,53.46060420064838,60.44587099504651,12.218108173309217,60.44587099504651,0.0,0.0867781656127289,11.523636077567843,0.1375044047565579,0.012344458268111608,171.5567179741189,54
conv_tight,0.8,1.195,0.9975,4432.502988958564,63.32942413167158,923.3821280487932,19.111560342181107,923.3821280487932,0.0,0.20832070059489027,4.8002910759437425,0.13571797314878511,0.006621499083009256,1201.4363838180047,86
conv_tight,1.2,1.5950000000000002,1.3975,2763.774483859539,24.275992870432315,615.2604135690208,7.70283175224021,615.2604135690208,0.0,0.2226159974926122,4.492040155529192,0.1347397883810806,0.008861332072616426,1268.3967806729877,86
conv_tight,1.6,1.995,1.7975,1394.6265376210213,9.3010684702484,331.5418558814199,3.2962377954293145,331.5418558814199,0.0,0.23772805617693887,4.206487093200766,0.13632773193485492,0.008386511133541323,2226.0439337611956,86
conv_tight,2.0,2.495,2.2475,690.4194416701794,3.637147157521187,191.06713974514423,1.4660431803601859,191.06713974514423,0.0,0.2767406712692471,3.6134912711369336,0.13692454515587593,0.010495711670558896,1898.9606826001118,86
conv_tight,2.5,2.995,2.7475,240.24684519320726,1.122046726831514,71.93021073081036,0.5042968217947624,71.93021073081036,0.0,0.2994012706929153,3.3399991846583132,0.1361270820201957,0.009958915910285538,2585.203112632451,86
conv_tight,3.0,3.995,3.4975,124.0659445207566,0.434080898396891,42.81020176814127,0.21682444886012067,42.81020176814127,0.0,0.34506005603317674,2.898046245908719,0.13670824825518207,0.010987166735560813,1803.4335136032887,86
conv_tight,4.0,4.995,4.4975000000000005,23.196599702350795,0.07616693593778588,9.103983209948638,0.043395310905738234,9.103983209948638,0.0,0.39247059167150344,2.5479616083872,0.13723946394484046,0.012564068394285696,2972.8603403603706,86
