config,pt_min,pt_max,pt_center,y_ee,e_ee,y_eeg,e_eeg,raw_eeg,pol2_eeg,eeg_over_ee,ee_over_eeg,fit_mean,fit_sigma,fit_chi2,fit_ndf
nominal,0.8,1.0,0.9,23929.0,154.69001260585637,3414.0770739806276,71.68681887209112,5139.0,1724.9229260193729,0.14267529248947416,7.008922025330873,0.13212110380367242,0.01110854176494792,1263.5658068838727,285
nominal,1.0,1.3,1.15,33129.0,182.01373574541017,5074.530000642796,85.17041739947034,7254.0,2179.4699993572035,0.15317486192287108,6.528486381163086,0.1317009046556005,0.010925803969634391,774.0260528757294,286
nominal,1.3,1.7,1.5,21202.0,145.60906565183365,3833.7134731142683,70.83784299369935,5018.0,1184.2865268857329,0.1808184828371978,5.5304080883167375,0.13172607167425882,0.010950709389710376,441.4273217561305,286
nominal,1.7,2.0,1.85,7820.0,88.43076387773658,1520.5938601092823,43.32435804486894,1877.0,356.40613989071755,0.19444934272497216,5.142727591598976,0.13151853570574876,0.011339769800367293,402.90991836968334,286
nominal,2.0,2.5,2.25,5818.0,76.27581530209953,1236.9549800167604,38.781438859330635,1504.0,267.0450199832396,0.21260828119916816,4.70348565145125,0.13159472832609742,0.011335285625207603,281.5210691173338,285
nominal,2.5,3.0,2.75,2021.0,44.955533585978046,489.68466730533214,23.769728648009426,565.0,75.31533269466775,0.2422982025261416,4.127145763254723,0.13280436380667526,0.011231210997642542,298.02616798485775,271
nominal,3.0,4.0,3.5,1056.9490246949167,32.511536451682616,258.1709010391121,17.776388834631177,316.0,57.82909896088791,0.24426050358827087,4.093989758105202,0.13278649693998026,0.011394502165106445,138.50816458340108,233
nominal,4.0,5.0,4.5,198.0,14.071247279470288,21.366629595584595,8.06225774829855,65.0,43.6333704044154,0.10791227068477068,9.266786748665153,0.12819924792940987,0.0069366629568091715,17.894469704818523,100
nominal,5.0,7.0,6.0,80.94485294117649,9.000005631846568,-19.843894696312283,4.69041575982343,22.0,41.843894696312276,-0.24515326145237495,-4.079080955626064,0.12483655564782394,0.006000000858527397,2.347778678465394,46
nominal,7.0,10.0,8.5,14.0,3.7416573867739413,-35.995944478588775,2.0,4.0,39.99594447858878,-2.5711388913277697,-0.3889327034696235,0.13990551083901964,0.026609712479156295,2.8859603607639136e-07,3
